,Brand,Engine Size,Horsepower,Mileage,Price
0,Toyota,5,344,123394,110877.6
1,BMW,1,262,81419,79683.72
2,Honda,4,256,89838,90187.2
3,BMW,4,208,145651,96287.87999999999
4,BMW,4,113,172376,70141.68
5,BMW,2,253,31960,92952.0
6,Honda,4,129,149435,58003.5
7,Toyota,3,107,73911,410759.10000000003
8,BMW,5,102,191401,79094.27999999998
9,BMW,1,318,154353,84460.43999999999
10,Toyota,1,294,91213,62936.7
11,Toyota,5,128,64895,71422.5
12,Honda,3,302,97455,86953.5
13,Honda,2,296,10502,86277.8
14,Toyota,1,284,183372,51003.8
15,Toyota,2,114,7524,45562.6
16,Honda,2,187,186411,46652.899999999994
17,BMW,1,166,13002,68272.56
18,BMW,2,282,151087,86615.16
19,Honda,5,386,128747,121159.3
20,Toyota,4,193,134139,69705.1
21,Honda,1,120,40888,35584.2
22,Toyota,4,282,166114,83550.6
23,Toyota,1,157,103713,31978.699999999997
24,BMW,3,348,146643,715001.0399999999
25,BMW,4,297,189842,109456.56
26,Toyota,1,241,94696,50657.4
27,BMW,2,293,183349,713367.36
28,Toyota,4,349,78225,103372.5
29,Honda,4,330,114869,101255.1
30,Toyota,4,113,83430,58668.0
31,Honda,1,158,175306,32886.399999999994
32,BMW,2,268,122507,91548.36
33,BMW,2,223,121519,618624.96
34,BMW,2,251,194325,73403.4
35,BMW,1,168,41363,62967.23999999999
36,Toyota,3,277,50783,84138.7
37,BMW,5,166,119602,102827.76
38,BMW,4,316,161642,118131.36
39,BMW,4,288,165449,112306.92
40,Toyota,3,220,149157,60482.3
41,Toyota,5,164,168365,69713.5
42,Toyota,3,321,25430,644224.0
43,Toyota,1,205,141952,40729.8
44,BMW,1,125,59654,47346.719999999994
45,Toyota,5,307,72962,106729.8
46,Honda,1,365,69034,81628.6
47,Honda,5,295,182320,100317.0
48,BMW,2,224,173377,74121.96
49,BMW,5,366,196425,138725.4
50,Honda,2,244,190641,59715.899999999994
51,Honda,3,294,128599,84827.1
52,Honda,3,318,113239,90478.1
53,Toyota,1,390,134245,77168.5
54,Toyota,2,152,117275,39846.5
55,Honda,2,397,9308,106506.2
56,Honda,2,367,145598,85126.2
57,BMW,2,258,147365,86094.59999999999
58,BMW,4,280,61415,123024.59999999999
59,BMW,4,280,191215,109740.59999999999
60,Toyota,3,168,83799,446824.8
61,BMW,4,387,137186,141420.47999999998
62,Honda,1,281,146276,420380.8
