,Location,Land Size,Building Size,Num Rooms,Num Floors,Price ($)
0,Jakarta,152.0,97.0,4.0,1.0,2273941.27
1,Jakarta,142.0,130.0,4.0,1.0,2546611.98
2,Jakarta,64.0,52.0,6.0,3.0,1660826.83
3,Depok,156.0,70.0,4.0,3.0,2261600.0
4,Depok,121.0,109.0,9.0,1.0,2861315.0
5,Jakarta,70.0,58.0,7.0,2.0,1838335.34
6,Jakarta,152.0,140.0,9.0,3.0,3266574.32
7,Jakarta,171.0,64.0,3.0,2.0,1940639.25
8,Tangerang,124.0,118.0,9.0,1.0,2896632.09
9,Jakarta,137.0,125.0,6.0,2.0,2728025.15
10,Depok,166.0,111.0,4.0,2.0,2724274.0
11,Depok,149.0,137.0,5.0,2.0,2995102.0
12,Tangerang,153.0,86.0,4.0,2.0,2245814.01
13,Depok,180.0,168.0,2.0,1.0,3084016.0
14,Jakarta,199.0,75.0,6.0,1.0,2469747.95
15,Tangerang,102.0,57.0,8.0,3.0,2162392.65
16,Tangerang,51.0,39.0,8.0,3.0,1734582.96
17,Depok,137.0,70.0,7.0,3.0,2458958.0
18,Jakarta,87.0,75.0,4.0,3.0,1815799.21
19,Jakarta,179.0,74.0,4.0,2.0,2204822.93
20,Jakarta,70.0,58.0,7.0,3.0,1819671.55
21,,107.0,92.0,9.0,3.0,2600559.72
22,Depok,71.0,59.0,3.0,2.0,1594990.0
23,Depok,138.0,91.0,5.0,1.0,2406565.0
24,Depok,98.0,86.0,9.0,3.0,2659193.0
25,Jakarta,108.0,96.0,5.0,1.0,2111868.59
26,Tangerang,64.0,52.0,3.0,3.0,1421613.27
27,Tangerang,100.0,88.0,3.0,1.0,1839382.38
28,Depok,157.0,102.0,2.0,3.0,2431580.0
29,Depok,104.0,92.0,9.0,1.0,2592209.0
30,Tangerang,113.0,83.0,7.0,1.0,2286008.01
31,Depok,180.0,125.0,6.0,3.0,3175120.0
32,Tangerang,100.0,88.0,5.0,1.0,2021033.52
33,Tangerang,184.0,172.0,3.0,3.0,3224920.05
34,Depok,70.0,58.0,3.0,3.0,1580275.0
35,Tangerang,122.0,110.0,7.0,2.0,2604697.92
36,Tangerang,67.0,56.0,8.0,3.0,2016205.29
37,Depok,181.0,85.0,6.0,3.0,2765675.0
38,Depok,138.0,87.0,,3.0,2268302.0
39,Depok,109.0,101.0,8.0,3.0,2782787.0
40,Tangerang,63.0,51.0,2.0,2.0,
41,Depok,58.0,46.0,6.0,2.0,1665631.0
42,Depok,139.0,127.0,8.0,2.0,3144082.0
43,Tangerang,102.0,90.0,2.0,2.0,1839110.13
44,Tangerang,179.0,156.0,4.0,1.0,3070049.4
45,Depok,133.0,121.0,5.0,3.0,2796211.0
46,Depok,141.0,98.0,3.0,2.0,2341209.0
47,Tangerang,160.0,70.0,8.0,3.0,2535953.31
48,Tangerang,57.0,45.0,6.0,2.0,1568792.6099999999
49,Jakarta,84.0,63.0,2.0,3.0,1452554.73
50,Tangerang,130.0,91.0,5.0,1.0,2243197.44
51,Tangerang,99.0,64.0,9.0,2.0,2252282.67
52,Jakarta,153.0,112.0,5.0,1.0,2498098.65
53,Depok,181.0,76.0,9.0,1.0,2849708.0
54,Jakarta,51.0,39.0,9.0,3.0,1740825.9
55,Tangerang,183.0,154.0,3.0,2.0,2988833.76
56,Jakarta,103.0,102.0,8.0,1.0,2420958.89
57,Jakarta,155.0,101.0,9.0,3.0,2897414.27
58,Jakarta,53.0,41.0,5.0,3.0,1378041.98
59,Jakarta,103.0,91.0,3.0,3.0,1932695.6
60,Jakarta,195.0,169.0,8.0,1.0,3648597.73
61,Jakarta,93.0,81.0,9.0,3.0,2383934.31
62,Depok,63.0,51.0,8.0,3.0,2008231.0
63,Jakarta,144.0,92.0,4.0,3.0,2276809.67
64,Jakarta,97.0,85.0,3.0,1.0,1712079.28
65,Jakarta,64.0,52.0,7.0,3.0,1731195.55
66,Jakarta,89.0,53.0,9.0,1.0,2039435.43
67,Tangerang,131.0,119.0,2.0,3.0,2328835.41
68,Jakarta,160.0,129.0,7.0,1.0,2897332.46
69,Jakarta,102.0,90.0,8.0,1.0,2382814.22
70,Jakarta,73.0,61.0,8.0,2.0,1990831.2
71,Depok,173.0,51.0,5.0,2.0,2271904.0
72,Jakarta,90.0,78.0,5.0,2.0,1916120.49
73,Tangerang,64.0,52.0,5.0,1.0,1548904.5
74,Depok,94.0,82.0,8.0,3.0,2442120.0
75,Tangerang,114.0,102.0,3.0,3.0,2121957.09
76,Depok,138.0,126.0,6.0,1.0,2810158.0
77,Depok,120.0,75.0,3.0,3.0,2097524.0
78,Jakarta,58.0,46.0,2.0,1.0,6312695.9399999995
79,Jakarta,137.0,132.0,3.0,,2503533.46
80,Depok,178.0,166.0,5.0,1.0,3313045.0
81,Jakarta,185.0,122.0,4.0,2.0,2726144.53
82,Jakarta,112.0,100.0,2.0,2.0,1919024.24
83,Depok,188.0,98.0,7.0,3.0,3039379.0
84,Depok,130.0,118.0,4.0,3.0,2638141.0
85,Tangerang,185.0,112.0,2.0,3.0,2476117.71
86,Depok,82.0,70.0,2.0,3.0,1728746.0
87,Tangerang,172.0,83.0,8.0,2.0,2753881.02
88,Tangerang,54.0,42.0,5.0,2.0,1450849.95
89,Jakarta,90.0,78.0,8.0,1.0,2139466.84
90,Jakarta,77.0,65.0,9.0,3.0,2154386.56
91,Depok,184.0,64.0,7.0,2.0,2570626.0
92,Depok,121.0,52.0,3.0,1.0,1729639.0
93,Tangerang,61.0,52.0,8.0,1.0,1850338.71
94,Tangerang,82.0,70.0,9.0,1.0,2159127.63
95,Jakarta,97.0,53.0,7.0,2.0,1851999.6300000001
96,Depok,111.0,99.0,5.0,1.0,2391794.0
97,Depok,86.0,74.0,5.0,3.0,2095095.0
98,Depok,148.0,94.0,9.0,1.0,2873727.0
99,Depok,153.0,124.0,8.0,1.0,3062305.0
100,Jakarta,84.0,58.0,5.0,2.0,1708424.09
101,Jakarta,150.0,138.0,4.0,1.0,2627959.4
102,Tangerang,180.0,167.0,7.0,2.0,3532773.42
103,Jakarta,50.0,38.0,7.0,2.0,1508946.06
104,Tangerang,54.0,42.0,2.0,3.0,1172304.54
105,Jakarta,191.0,75.0,6.0,1.0,2392343.57
106,Jakarta,152.0,75.0,3.0,3.0,2063464.34
107,Depok,76.0,72.0,9.0,3.0,2350699.0
108,Tangerang,186.0,79.0,5.0,1.0,2418669.9899999998
109,Tangerang,64.0,59.0,7.0,1.0,1749437.91
110,Tangerang,139.0,121.0,7.0,2.0,2850529.77
111,Jakarta,91.0,79.0,2.0,1.0,1560616.65
112,Depok,173.0,161.0,9.0,2.0,3700115.0
113,Jakarta,112.0,100.0,3.0,3.0,2112085.74
114,Depok,145.0,133.0,6.0,3.0,3070547.0
115,Jakarta,101.0,89.0,6.0,2.0,2126186.35
116,Tangerang,145.0,123.0,5.0,1.0,2599584.57
117,Jakarta,181.0,169.0,6.0,1.0,3278117.61
118,Tangerang,192.0,154.0,6.0,2.0,3339187.83
119,Depok,78.0,66.0,8.0,3.0,2261753.0
120,Tangerang,85.0,73.0,3.0,2.0,1660188.42
121,Tangerang,62.0,50.0,9.0,1.0,1850917.8599999999
122,Tangerang,120.0,108.0,3.0,1.0,2179392.93
123,Tangerang,135.0,51.0,8.0,2.0,2228603.85
124,Depok,77.0,65.0,5.0,1.0,1875373.0
125,Jakarta,115.0,103.0,7.0,3.0,2529693.47
126,Jakarta,94.0,82.0,2.0,2.0,1685696.06
127,Jakarta,111.0,99.0,5.0,3.0,2296351.15
128,Jakarta,183.0,76.0,4.0,3.0,2263056.5
129,Tangerang,77.0,65.0,6.0,2.0,1903625.46
130,Depok,77.0,64.0,8.0,2.0,2138854.0
131,Depok,157.0,145.0,2.0,1.0,2752672.0
132,Jakarta,93.0,81.0,7.0,1.0,2116554.99
133,Jakarta,133.0,121.0,7.0,2.0,2756899.03
134,Depok,79.0,52.0,3.0,2.0,1605617.0
135,Depok,124.0,112.0,4.0,1.0,2479217.0
136,Tangerang,177.0,165.0,9.0,1.0,3565574.1
137,Depok,141.0,101.0,7.0,1.0,2709391.0
138,Depok,178.0,109.0,4.0,2.0,2715898.0
139,Tangerang,170.0,83.0,6.0,2.0,2535381.09
140,Tangerang,76.0,64.0,3.0,1.0,1473355.6199999999
141,Tangerang,170.0,138.0,2.0,3.0,24366444.3
142,Depok,165.0,109.0,3.0,3.0,2603032.0
143,Depok,52.0,40.0,6.0,1.0,1528044.0
144,Depok,152.0,140.0,8.0,2.0,3352693.0
145,Tangerang,186.0,71.0,7.0,2.0,2530154.88
146,Depok,111.0,99.0,4.0,3.0,2299979.0
147,Depok,100.0,84.0,8.0,1.0,2464012.0
148,Tangerang,108.0,96.0,6.0,3.0,2424531.78
149,Jakarta,167.0,155.0,7.0,3.0,3329295.32
150,Jakarta,145.0,132.0,5.0,1.0,2637757.41
151,Depok,162.0,150.0,9.0,3.0,3590711.0
152,Tangerang,111.0,99.0,4.0,2.0,2207221.83
153,Tangerang,101.0,89.0,6.0,3.0,2265003.18
154,Depok,61.0,49.0,2.0,1.0,1309152.0
155,Depok,88.0,76.0,2.0,2.0,1740780.0
156,Jakarta,179.0,73.0,7.0,2.0,2508418.83
157,Tangerang,180.0,126.0,7.0,3.0,3126987.27
158,Depok,162.0,150.0,2.0,2.0,2837870.0
159,Tangerang,150.0,138.0,9.0,1.0,3236030.82
160,Depok,162.0,62.0,5.0,3.0,2315781.0
161,Jakarta,130.0,118.0,3.0,2.0,2307219.7600000002
162,Depok,162.0,150.0,2.0,1.0,2781001.0
163,Jakarta,51.0,39.0,9.0,3.0,1792347.01
164,Jakarta,179.0,97.0,9.0,1.0,2939310.08
165,Depok,103.0,50.0,7.0,2.0,2015887.0
166,Depok,136.0,109.0,7.0,3.0,2909201.0
167,Jakarta,178.0,166.0,5.0,3.0,3298942.8
168,Tangerang,196.0,184.0,2.0,2.0,3276064.44
169,Tangerang,175.0,163.0,5.0,1.0,3143071.8
170,Jakarta,179.0,93.0,9.0,2.0,2875012.47
171,Jakarta,102.0,90.0,2.0,3.0,1845512.4
172,Depok,117.0,105.0,3.0,3.0,2342554.0
173,Depok,172.0,93.0,6.0,2.0,2759600.0
174,Jakarta,194.0,127.0,2.0,1.0,2566519.08
175,Jakarta,87.0,74.0,6.0,2.0,1904575.18
176,Tangerang,73.0,61.0,2.0,1.0,1362095.46
177,Tangerang,118.0,106.0,3.0,1.0,2083171.8599999999
178,Tangerang,165.0,153.0,9.0,3.0,3559641.03
179,Jakarta,147.0,135.0,8.0,1.0,3024445.0
